,City,Country,Lat,Long,Max Temp,Humidity,Wind Speed,Cloud Cover
91,Asău,RO,46.44,26.4,10.56,81,1.1,Rain
92,Asău,RO,46.43,26.4,10.56,82,1.06,Rain
93,Kapaa,US,22.08,-159.32,27.0,69,9.8,Clouds
94,Kapaa,US,22.08,-159.32,27.0,69,9.8,Clouds
95,Albany,US,42.6,-73.97,21.0,37,6.2,Clouds
96,Albany,US,42.6,-73.97,21.0,37,6.2,Clouds
97,Faanui,PF,-16.48,-151.75,28.01,77,5.58,Clear
98,Faanui,PF,-16.48,-151.75,28.01,77,5.58,Clear
99,Mosquera,CO,4.71,-74.23,14.0,71,1.0,Clouds
100,Mosquera,CO,4.71,-74.23,14.0,71,1.0,Clouds
101,Tautira,PF,-17.73,-149.15,31.0,66,1.5,Clouds
102,Tautira,PF,-17.73,-149.15,31.0,66,1.5,Clouds
103,Keti Bandar,PK,24.14,67.45,29.45,71,8.63,Clear
104,Keti Bandar,PK,24.14,67.45,29.45,71,8.63,Clear
105,Novy Urengoy,RU,66.09,76.68,-8.13,96,7.12,Clouds
106,Novy Urengoy,RU,66.08,76.63,-8.18,96,7.11,Clouds
107,Mar del Plata,AR,-38.0,-57.56,15.0,93,4.6,Clouds
108,Mar del Plata,AR,-38.0,-57.56,15.0,93,4.6,Clouds
109,Pontes e Lacerda,BR,-15.23,-59.34,21.56,69,1.17,Clouds
110,Pontes e Lacerda,BR,-15.23,-59.34,21.56,69,1.17,Clouds
111,Zaysan,KZ,47.47,84.87,18.99,41,9.95,Clouds
112,Zaysan,KZ,47.47,84.87,18.99,41,9.95,Clouds
113,Port Elizabeth,ZA,-33.92,25.57,14.0,100,3.6,Rain
114,Port Elizabeth,ZA,-33.92,25.57,14.0,100,3.6,Rain
115,Alamosa,US,37.47,-105.87,21.0,9,6.7,Clear
116,Alamosa,US,37.47,-105.87,21.0,9,6.7,Clear
117,Lubumbashi,CD,-11.66,27.48,14.04,63,1.43,Clear
118,Lubumbashi,CD,-11.66,27.48,14.04,63,1.43,Clear
119,Buta,CD,2.79,24.73,21.37,82,0.78,Clouds
120,Buta,CD,2.79,24.73,21.37,82,0.78,Clouds
121,Bethel,US,41.37,-73.41,17.22,67,0.99,Clear
122,Bethel,US,41.37,-73.41,17.22,67,0.99,Clear
123,Shoreview,US,45.08,-93.15,11.67,43,3.6,Clear
124,Shoreview,US,45.08,-93.15,11.67,43,3.6,Clear
125,Carnarvon,AU,-24.87,113.63,24.0,83,3.1,Clear
126,Carnarvon,AU,-24.87,113.63,24.0,83,3.1,Clear
127,New Norfolk,AU,-42.78,147.06,16.67,74,0.45,Clouds
128,New Norfolk,AU,-42.78,147.06,16.67,74,0.45,Clouds
129,Peniche,PT,39.36,-9.38,18.33,89,3.58,Clear
130,Peniche,PT,39.36,-9.38,18.33,89,3.58,Clear
131,Longyearbyen,SJ,78.22,15.64,-10.0,78,1.5,Clouds
132,Longyearbyen,SJ,78.22,15.64,-10.0,78,1.5,Clouds
133,Seydi,TM,39.48,62.91,21.96,49,6.98,Rain
134,Seydi,TM,39.48,62.91,21.96,49,6.98,Rain
135,Jamestown,US,42.1,-79.24,14.0,47,2.6,Clear
136,Jamestown,US,42.1,-79.24,14.0,47,2.6,Clear
137,Port Augusta,AU,-32.5,137.77,17.0,59,2.6,Clear
138,Port Augusta,AU,-32.5,137.77,17.0,59,2.6,Clear
139,Hong Kong,HK,22.29,114.16,30.0,70,1.79,Clear
140,Hong Kong,HK,22.29,114.16,29.44,70,2.24,Clear
141,Qaqortoq,GL,60.72,-46.03,0.0,95,1.0,Snow
142,Qaqortoq,GL,60.72,-46.03,0.0,95,1.0,Snow
143,Avarua,CK,-21.21,-159.78,27.0,74,3.6,Rain
144,Avarua,CK,-21.21,-159.78,27.0,74,3.6,Rain
145,Nome,US,64.5,-165.41,8.0,36,4.1,Clear
146,Nome,US,64.5,-165.41,8.0,36,4.1,Clear
147,Hobyo,SO,5.35,48.53,28.99,74,7.17,Clouds
148,Hobyo,SO,5.35,48.53,28.99,74,7.17,Clouds
149,Bluff,NZ,-46.6,168.33,8.53,76,8.03,Clouds
150,Bluff,NZ,-46.6,168.33,8.53,76,8.03,Clouds
151,Novoagansk,RU,61.94,76.66,0.26,90,5.71,Clouds
152,Novoagansk,RU,61.94,76.66,0.26,90,5.71,Clouds
153,Bubaque,GW,11.28,-15.83,25.38,70,5.53,Clouds
154,Bubaque,GW,11.28,-15.83,25.38,70,5.53,Clouds
155,Bredasdorp,ZA,-34.53,20.04,12.0,87,1.0,Clear
156,Bredasdorp,ZA,-34.53,20.04,12.0,87,1.0,Clear
157,Avera,US,33.19,-82.53,23.0,49,3.1,Clear
158,Avera,US,33.19,-82.53,23.0,49,3.1,Clear
159,Saskylakh,RU,71.92,114.08,-8.68,95,2.28,Clouds
160,Saskylakh,RU,71.92,114.08,-8.68,95,2.28,Clouds
161,Iqaluit,CA,63.75,-68.51,-12.0,78,8.2,Snow
162,Iqaluit,CA,63.75,-68.51,-12.0,78,8.2,Snow
163,Wajima,JP,37.4,136.9,26.0,50,4.1,Clouds
164,Wajima,JP,37.4,136.9,26.0,50,4.1,Clouds
165,Chivasso,IT,45.19,7.89,14.44,71,2.6,Clouds
